28,Havre-Aubert Beach,179,"Also called Du Havre-Aubert Beach. One of our most famous beaches, site of the annual Sand Castle Contest. Enjoy kilometres of walking on golden sand to reach the Bout du Banc Point, where you will have an unobstructed view of Entry Island. ",28.jpg
29,Penouille Beach,193,"Come and enjoy an unforgettable experience in Gaspésie and enjoy a day filled with activities at Penouille Beach. You will find bicycles, quadricycles, electric bicycles, kayaks, paddle boards, beach chairs, umbrella, games and beach toys available for rental!",29.jpg
30,Lac Philippe,201,"With three sandy beaches, a large campground, boat rental facilities and plenty of hiking trails, your discovery options are nearly unlimited. A hike along the lake will take you to Lusk Cave, a superb example of a marble cave and a natural geological phenomenon",30.jpg
31,Oka Beach,191,"Park national d'Oka is not far from Montréal. This park has a rich historical and natural heritage. The Calvaire, with its four oratories and three chapels, is a unique complex of historic buildings in America",31.jpg
32,Tessier Beach,202,"This beach is situated on rue Major. The second largest beach on Lac des Sables, it is the ideal place to relax in the sun and take advantage of the tranquility offered by the Laurentians.",32.jpg
33,Katepwa Beach,216,"Katepwa Point Provincial Park, a small, day-use park featuring one of the nicest beaches in the Qu'Appelle Valley. It offers a lovely lawn area, near the beach, with picnic facilities (briquettes only), playground, service centre and parking.",33.jpg
34,Main Beach Kimball Lake,217,It covers about 1km of shoreline and is comprised of medium grain golden sand as well as some rocks and pebbles. It is easily accessible from the campground and from the day use area where there is ample parking,34.jpg
35,Kenosee Lake Main Beach,216,Beaach located in Sasketchwan,35.jpg
36,Candle Lake,215,"Candle Lake is a body of water in central Saskatchewan, approximately 65 kilometres (40 mi) northeast of Prince Albert, Saskatchewan.",36.jpg
37,Marsh Lake,221,"Marsh Lake (Mud Lake) is a widening of the Yukon River southeast of Whitehorse, Yukon, Canada. It is over 30 kilometres long and ranges from three to four kilometres wide.",37.jpg
38,Bennet Beach,221,"Bennett Beach is a large sandy beach with picnic tables and public restrooms. The nearby park boasts a variety of wildlife including wild flowers, rabbits, deer, waterfowl, shorebirds, gulls, terns, herons, and ducks.",38.jpg
